lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E07000146,76.75366727345138,271,5,3.9449198664639944,265,5,1.3103191457585932,241,4,2,2,5
E07000147,101.08463425839571,298,5,8.266230796540686,307,5,-0.546747745574276,114,2,1,3,4
E07000148,31.46281536756104,118,2,1.7789506471262682,208,4,-1.2003509817694666,77,2,4,5,1
E07000149,78.91913976316258,274,5,4.425363515806317,276,5,1.0527343535993934,228,4,2,1,5
E07000163,88.79718694973883,287,5,6.938418935607993,299,5,0.0866433668669647,167,3,2,2,5
E07000164,69.85456924182772,256,5,5.849213010999062,292,5,-0.9059507197179248,91,2,3,1,5
E07000165,26.03687874382662,102,2,0.8612906550947443,188,4,-1.4514822970123713,62,1,2,2,4
E07000166,55.08461915902433,214,4,3.8588784378409846,264,5,-0.29993357010113686,132,3,2,2,5
E07000167,60.958465446811914,233,4,4.651268223334475,279,5,-0.5565423841804374,111,2,2,1,5
E07000168,92.08486735899842,289,5,7.14401227057648,303,5,-0.23664531287705434,136,3,3,3,3
E07000169,46.99826927722833,181,3,-1.268929379218586,116,2,1.4811482804266412,249,5,1,2,5
E07000170,61.86133723740215,239,4,-1.5875699196508233,100,2,2.473817656036991,282,5,2,2,1
E07000171,59.48258968571654,229,4,2.8066592531301744,239,4,0.7623428267486267,214,4,2,4,4
E07000172,32.928965211281,123,2,-1.0019587915331511,127,3,0.4304549346697627,188,4,3,4,3
E07000173,17.701136381164876,63,2,-2.009232414570219,92,2,-0.5911830209795473,109,2,4,2,2
E07000174,49.54925453099315,191,4,-0.8886448856057376,131,3,1.5253339386936788,251,5,2,3,1
E07000175,49.0270143679157,189,4,2.673470704410307,235,4,0.0747307861086999,165,3,1,3,4
E07000176,37.44960588447303,140,3,-1.1462346246062194,122,2,0.7459191107514939,213,4,1,2,4
E07000177,16.286255256684104,56,1,-2.0168365021613712,90,2,-0.7433523569046689,98,2,2,1,4
E07000178,8.210516582397181,26,1,-3.7692289218068495,54,1,-1.7305923620746149,50,1,3,4,3
E07000179,43.31379307259904,169,3,-0.9831992890776801,128,3,1.1092500066237823,233,4,3,4,4
E07000180,29.868856398669344,111,2,-2.0966139620118014,86,2,0.5199189973923759,196,4,1,2,4
E07000181,41.202473248915794,155,3,-0.0997908925961778,157,3,0.7070524424208987,209,4,3,1,4
E07000187,35.31017233093047,130,3,2.0352063957698245,219,4,-0.9143976196559314,90,2,3,2,4
E07000188,92.92541139043925,290,5,4.005297725675143,268,5,2.3011201792118054,275,5,5,4,5
E07000189,79.20778030625554,275,5,5.416648342869595,286,5,0.5332811215809049,198,4,4,3,4
E07000192,81.57637693088458,279,5,0.4586026202915291,173,3,3.0724175969616705,293,5,1,3,1
E07000193,87.38543785445923,285,5,3.1943046089503833,249,5,2.412378677343732,279,5,3,3,4
E07000194,34.257409955521055,128,3,-0.38723929243131877,148,3,0.3495565560961842,180,3,1,1,3
E07000195,125.39383649154655,307,5,5.582101701125305,287,5,3.455062183659711,297,5,3,2,2
E07000196,117.9934027510959,305,5,4.314160339189919,272,5,3.5691468775538824,299,5,1,3,4
E07000197,60.98584407214348,234,4,4.64216895956768,278,5,-0.5242418342012142,117,2,2,5,4
E07000198,106.2881527786825,301,5,7.265482833609979,304,5,0.6907569370671536,207,4,1,2,4
E07000199,67.87448908430292,252,5,1.4940988484324946,200,4,2.06281684397359,268,5,1,2,3
E07000200,97.91864399656495,295,5,4.079244779601662,270,5,2.460010095379348,281,5,1,2,4
E07000202,45.30662766265632,177,3,1.2934073117624405,196,4,0.5218338500823547,197,4,3,4,1
E07000203,51.51286417779718,201,4,3.5524544244933467,257,5,-0.32928997793232484,128,3,1,1,5
E07000207,9.565993238171828,32,1,-4.678163451254762,35,1,-1.0588335217484308,82,2,3,3,4
E07000208,11.095673130636946,39,1,-6.141563274389658,8,1,-0.5266808504063469,116,2,1,2,3
E07000209,9.282014827270217,29,1,-3.4341083852592793,61,1,-1.6601544322114095,55,1,2,1,2
