MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02003584,199,0.030766852
E02003588,692,0.082019675
E02003589,201,0.024714128
E02003597,368,0.064122669
E02003605,233,0.024557336
E02003616,983,0.178402904
E02003633,2571,0.265078874
E02003643,366,0.027341999
E02003644,370,0.037574896
E02003655,161,0.015882411
E02003665,272,0.043984476
E02003667,298,0.03030303
E02003668,242,0.026867992
E02003669,371,0.046596333
E02003679,306,0.043305972
E02003691,225,0.032570932
E02003693,517,0.076945974
E02003696,331,0.041629984
E02003701,593,0.051731658
E02003702,223,0.027791625
E02003716,246,0.044964358
E02003717,226,0.025594564
E02003718,1249,0.223075549
E02003722,382,0.048281092
E02003725,2990,0.197503138
E02003730,402,0.028141407
E02003732,1259,0.127326052
E02003733,560,0.065666041
E02003735,830,0.089218532
E02003736,149,0.014613574
E02003737,274,0.01961065
E02003738,133,0.021178344
E02003742,3694,0.554321729
E02003743,6027,0.529799578
E02003744,3852,0.268338558
E02003745,2894,0.28058949
E02003747,620,0.052179768
E02003748,293,0.037472823
E02003749,1881,0.312250996
E02003750,1061,0.141825959
E02003751,664,0.094492671
E02003755,2534,0.311072919
E02003756,277,0.039798851
E02003757,170,0.026001835
E02003762,738,0.077132107
E02003763,247,0.025474422
E02003764,326,0.030717045
E02003765,2744,0.374760994
E02003766,979,0.134496497
E02003767,592,0.091118978
E02003768,4924,0.505647977
E02003769,121,0.016098989
E02003771,1025,0.15788663
E02003772,382,0.056600978
E02003773,348,0.032094439
E02003776,470,0.071287729
E02003777,1735,0.208910295
E02003779,322,0.064054108
E02003780,915,0.075676123
E02003788,306,0.040996785
E02003792,277,0.028663079
E02003793,766,0.109444206
E02003803,1048,0.105517519
E02003808,586,0.090824551
E02003809,298,0.037198852
E02003837,303,0.021272115
E02003838,284,0.040606234
E02003862,266,0.05200391
E02003879,696,0.080276817
E02003893,289,0.043754731
E02003894,231,0.027671299
E02003898,112,0.016654275
E02003903,657,0.103873518
E02003904,328,0.065665666
E02003906,429,0.072258717
E02003910,286,0.044272446
E02003911,254,0.028097345
E02003913,220,0.035633301
E02003918,632,0.08875158
E02003928,535,0.043993093
E02003931,303,0.028405362
E02003935,363,0.033247848
E02003936,794,0.093422756
E02003940,321,0.051425825
E02003944,656,0.06466877
E02003945,390,0.063892529
E02003947,897,0.134968402
E02003948,797,0.096209561
E02003949,244,0.036686213
E02003951,260,0.043852252
E02003952,527,0.059981789
E02003957,218,0.019784009
E02003959,990,0.139240506
E02003960,311,0.051345551
E02003963,266,0.026212061
E02003964,417,0.051930262
E02003965,303,0.027329305
E02003966,312,0.044533257
E02003968,348,0.038195588
E02003970,579,0.071314201
E02003975,769,0.107312308
E02003976,1441,0.214786108
E02003978,251,0.045176386
E02003982,666,0.087298466
E02003983,300,0.039994667
E02003987,451,0.07627262
E02003988,279,0.041948579
E02003990,369,0.035542285
E02003992,1977,0.240921277
E02003994,700,0.09673853
E02003996,2103,0.221298537
E02004003,477,0.041049914
E02004005,597,0.076853759
E02004007,465,0.047357165
E02004010,258,0.034331337
E02004012,340,0.061739604
E02004013,198,0.020103564
E02004014,350,0.045823514
E02004015,581,0.090568979
E02004017,811,0.091939689
E02004018,186,0.022019652
E02004019,341,0.043131799
E02004021,273,0.051104455
E02004022,883,0.160399637
E02004025,416,0.051922117
E02004026,907,0.111493546
E02004030,462,0.078040541
E02004038,726,0.092237327
E02004044,583,0.067119503
E02004064,463,0.047914726
E02004065,295,0.036289827
E02004070,445,0.071855321
E02004071,245,0.048717439
E02004072,127,0.013648576
E02004073,698,0.075927336
E02004075,108,0.014968815
E02004076,556,0.074701061
E02004077,560,0.068787618
E02004081,349,0.058557047
E02004087,507,0.06418534
E02004088,241,0.030925189
E02004089,4836,0.667679138
E02004091,8046,0.856777766
E02004092,9007,0.907323461
E02004096,262,0.027130579
E02004098,297,0.04087531
E02004114,592,0.076377242
E02004118,3547,0.485624315
E02004120,1338,0.13421607
E02004121,1475,0.17595133
E02004130,260,0.042989418
E02004132,1081,0.123401826
E02004133,260,0.027899989
E02004134,1606,0.119298767
E02004135,640,0.076646707
E02004136,504,0.056584709
E02004137,240,0.044485635
E02004138,581,0.077106835
E02004139,328,0.046650548
E02004140,445,0.08495609
E02004141,688,0.11183355
E02004142,565,0.082662765
E02004145,213,0.034255388
E02004146,337,0.045454545
E02004147,3668,0.49654799
E02004150,265,0.037754666
E02004151,959,0.102369769
E02004153,1067,0.141044283
E02004155,322,0.042699907
E02004156,1671,0.138236267
E02004158,5781,0.706464622
E02004159,283,0.022549801
E02004160,487,0.066941581
E02004162,3464,0.471806047
E02004163,375,0.048612912
E02004164,274,0.040029218
E02004165,659,0.075860481
E02004166,770,0.11258956
E02004167,593,0.079715015
E02004168,2142,0.339514979
E02004170,749,0.085162024
E02004173,299,0.040296496
E02004175,550,0.102173509
E02004177,1226,0.207691005
E02004178,337,0.062511593
E02004179,229,0.024268758
E02004181,2322,0.398284734
E02004182,295,0.046507962
E02004183,1287,0.218320611
E02004184,641,0.072095377
E02004186,282,0.030499676
E02004187,419,0.042021863
E02004191,1008,0.113975577
E02004192,224,0.029894568
E02004193,514,0.043718636
E02004195,190,0.035010135
E02004196,649,0.084220088
E02004200,202,0.03910939
E02004202,1036,0.119907407
E02004203,617,0.104860639
E02004204,369,0.037826756
E02004205,530,0.062360278
E02004206,234,0.034873323
E02004209,1093,0.122712473
E02004210,1175,0.172591069
E02004211,1047,0.156315318
E02004213,282,0.033619456
E02004214,2122,0.339248601
E02004217,915,0.113876789
E02004218,224,0.0364524
E02004222,2219,0.372377916
E02004227,501,0.049442416
E02004229,544,0.056390588
E02004230,246,0.032330135
E02004231,286,0.041180706
E02004232,292,0.043922984
E02004234,1216,0.200395517
E02004236,588,0.097625768
E02004237,340,0.041162228
E02004241,851,0.087885986
E02004243,595,0.091215698
E02004247,428,0.069536962
E02004252,147,0.019158087
E02004255,398,0.052094241
E02004258,697,0.068266405
E02004260,387,0.042710518
E02004261,259,0.024737345
E02004262,945,0.118480441
E02004263,233,0.039358108
E02004267,293,0.058518075
