LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E08000017,Doncaster,47030,0.15144489312234738,5,NA,NA,NA,252.83333333333334,8.141679171684775,3
E08000018,Rotherham,NA,NA,NA,5,0.18891378352747373,1,208.5,7.877704773095655,3
E08000019,Sheffield,2677,0.004595660817227633,1,16,0.27467528231468863,1,478.6666666666667,8.2173688625811,4
E08000021,Newcastle upon Tyne,325,0.0010826260176684567,1,NA,NA,NA,266.1666666666667,8.866429488289874,4
E08000022,North Tyneside,938,0.004553729640507804,1,37,1.7962472995606475,5,179.66666666666666,8.722317968136839,4
E08000023,South Tyneside,NA,NA,NA,6,0.3992945795760823,1,128,8.518284364289753,4
E08000024,Sunderland,814,0.002934210953185998,1,10,0.36046817606707593,1,252.66666666666666,9.107829248628118,4
E08000025,Birmingham,14501,0.012704862735615144,2,121,1.0601257782286964,3,1109.8333333333333,9.72366054714172,5
E08000026,Coventry,2502,0.006821434900554821,1,NA,NA,NA,278.1666666666667,7.583916099804155,3
E08000027,Dudley,NA,NA,NA,19,0.592590744356353,2,273.3333333333333,8.524989655652796,4
E08000028,Sandwell,755,0.0023062026159363183,1,20,0.6109146002480313,2,281.1666666666667,8.588441088486908,4
E06000059,Dorset,11692,0.031055768638242262,4,82,2.1780474070611233,5,290.8333333333333,7.724985214068415,3
E07000004,Aylesbury Vale,1344,0.006738598531948177,1,NA,NA,NA,182.66666666666666,9.158611099969248,4
E07000005,Chiltern,306,0.003189925672646909,1,7,0.729721559102234,3,81.33333333333333,8.478669543854528,4
E07000006,South Bucks,742,0.010593492568850563,2,11,1.5704638579158516,4,62.833333333333336,8.97067991567085,4
E07000007,Wycombe,2868,0.016422260523015788,3,9,0.515342903441918,2,157.5,9.018500810233565,4
E07000008,Cambridge,3774,0.030010019243308577,4,NA,NA,NA,84.66666666666667,6.732507408408743,2
E07000009,East Cambridgeshire,3205,0.035865356639287395,4,4,0.4476175555605291,1,50,5.595219444506613,1
E07000010,Fenland,20986,0.20677695559212148,5,NA,NA,NA,68.66666666666667,6.765788756310084,2
E07000011,Huntingdonshire,15407,0.08687243448058099,5,14,0.7893905904641616,3,91.83333333333333,5.178026373163727,1
E07000012,South Cambridgeshire,4791,0.03041537846228074,4,18,1.1427192910061643,4,79.16666666666667,5.0258487335919275,1
E07000026,Allerdale,3752,0.03847139766423657,4,43,4.4090354465942765,5,72.33333333333333,7.416749549697348,2
E07000027,Barrow-in-Furness,1217,0.018127113216259292,3,NA,NA,NA,67.16666666666667,10.004418825188296,5
E07000028,Carlisle,5879,0.05424082223882938,4,163,15.038703903604675,5,97.33333333333333,8.980166748164754,4
E07000029,Copeland,1539,0.02249210803226938,3,4,0.5845902022682099,2,72.66666666666667,10.620055341205815,5
E07000030,Eden,1146,0.02167129971067113,3,27,5.105803596754978,5,44.666666666666664,8.446638048952678,4
E07000031,South Lakeland,4398,0.04207324073011135,4,12,1.1479738261967627,4,80.16666666666667,7.6691029222311515,3
E07000032,Amber Valley,1771,0.013980328075908998,2,8,0.6315224427288085,2,79,6.236284121946984,1
E07000033,Bolsover,NA,NA,NA,NA,NA,NA,59.333333333333336,7.460497087053104,3
E07000034,Chesterfield,758,0.0072447146079443366,1,NA,NA,NA,91.33333333333333,8.729339501217009,4
E07000035,Derbyshire Dales,2739,0.03805382274893369,4,5,0.6946663517512539,3,47.333333333333336,6.576174796578536,1
E07000036,Erewash,22986,0.19903021906658586,5,NA,NA,NA,84.83333333333333,7.34551332005657,2
E07000037,High Peak,862,0.009347111829192917,2,NA,NA,NA,68.66666666666667,7.445881812891496,2
E07000038,North East Derbyshire,1148,0.011352286773794809,2,NA,NA,NA,64,6.328800988875154,1
E07000039,South Derbyshire,6360,0.06086532112198903,4,NA,NA,NA,71.16666666666667,6.810663553220471,2
E07000040,East Devon,11416,0.07910363990382284,5,47,3.2567195825855584,5,117.33333333333333,8.13025030546182,3
E07000041,Exeter,14674,0.11250651700555095,5,5,0.3833532677032539,1,118.33333333333333,9.072694002310342,4
E07000042,Mid Devon,5486,0.06715221249770488,4,18,2.2033172164759165,5,67.33333333333333,8.242038476446947,4
E07000043,North Devon,7588,0.0789512017479971,5,27,2.8092810321506607,5,76.66666666666667,7.976970832032741,3
E07000044,South Hams,2787,0.032323911808028204,4,13,1.5077533315549576,4,69,8.0026907597917,3
E07000045,Teignbridge,9644,0.07259642889404114,4,NA,NA,NA,122,9.183704194393423,5
E07000046,Torridge,2720,0.03991605887618684,4,5,0.7337510822828464,3,53.666666666666664,7.875594949835883,3
E07000047,West Devon,2584,0.04653508140037459,4,10,1.8008932430485523,5,49,8.824376890937906,4
E07000061,Eastbourne,23035,0.22329391236913532,5,11,1.0663047692904226,3,97,9.402869329197364,5
E07000062,Hastings,1754,0.018889666684615797,3,6,0.6461687577405633,2,116.83333333333333,12.582341643781524,5
E07000063,Lewes,4002,0.038951179630927354,4,NA,NA,NA,96,9.343611305769679,5
E07000064,Rother,5666,0.059233085222045664,4,10,1.0454127289453876,3,83.83333333333333,8.764043377658833,4
E07000065,Wealden,3041,0.018985484626190104,3,4,0.24972686124551272,1,120.33333333333333,7.51261640913584,3
E07000066,Basildon,315,0.0016948058236756303,1,5,0.2690167974088302,1,144.33333333333334,7.765618218534899,3
E07000067,Braintree,1617,0.01066897156920316,2,NA,NA,NA,97.16666666666667,6.411060013239994,1
E07000068,Brentwood,1008,0.013167864141084258,2,NA,NA,NA,55.833333333333336,7.293707816242108,2
E07000069,Castle Point,38849,0.43132008437881647,5,4,0.4440990340846009,1,63.5,7.050072166093038,2
E07000070,Chelmsford,2539,0.014338233217942274,2,9,0.5082477312385997,2,125.33333333333333,7.077820257248647,2
E07000071,Colchester,4081,0.021197467315593462,3,NA,NA,NA,150,7.791276886397989,3
E07000072,Epping Forest,3217,0.02453159672708694,3,NA,NA,NA,105.33333333333333,8.032312263764867,3
E07000073,Harlow,256,0.0029563249185855832,1,NA,NA,NA,72.83333333333333,8.41089836863216,4
E07000074,Maldon,6405,0.09941792782305006,5,5,0.7760962359332557,3,51.5,7.993791230112534,3
E07000075,Rochford,1971,0.022660121175888986,3,NA,NA,NA,47.833333333333336,5.49928528452574,1
E07000076,Tendring,8892,0.0609863994568013,4,18,1.2345424991255325,4,132.66666666666666,9.099035456517813,4
E07000077,Uttlesford,637,0.00714293723858756,1,11,1.2334742484217136,4,61.66666666666667,6.914931392667183,2
E07000078,Cheltenham,1554,0.013271842172687676,2,18,1.5372790161414298,4,105.83333333333333,9.038631252313035,4
E07000079,Cotswold,2769,0.031104670755543573,4,7,0.7863224820830806,3,67.33333333333333,7.56367339908487,3
E07000080,Forest of Dean,1613,0.018638133644546643,3,6,0.6932969737587096,3,58.666666666666664,6.778903743418493,2
E07000081,Gloucester,3792,0.02933054878756236,3,39,3.0165912518853695,5,110,8.508334300189505,4
E07000082,Stroud,1851,0.015552138734151691,2,24,2.01648476293701,5,86.83333333333333,7.2957538992373765,2
E07000083,Tewkesbury,1565,0.016900830462531994,3,137,14.794976187647816,5,63.5,6.857525459238221,2
S12000008,East Ayrshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000029,Solihull,140,6.514385158369356e-4,1,22,1.0236890963151846,3,159,7.398480287005198,2
E08000030,Walsall,3675,0.01296854378250958,2,17,0.5999054266739127,2,253.66666666666666,8.951529994095047,4
E08000031,Wolverhampton,2452,0.009358492870446704,2,9,0.343500961802693,1,255.83333333333334,9.764332895687664,5
E08000032,Bradford,4562,0.008492608526489604,1,27,0.5026313682928963,2,465.1666666666667,8.659531783367122,4
E08000033,Calderdale,8854,0.04214544796793633,4,77,3.665235479479441,5,169.5,8.068278100932018,3
E08000034,Kirklees,5085,0.011590351175104336,2,NA,NA,NA,294.5,6.712602597970948,2
E08000035,Leeds,10196,0.012919510285177028,2,25,0.31677889086840494,1,646.6666666666666,8.194013977129408,4
E08000036,Wakefield,5999,0.01738649076333621,3,12,0.34778777989670706,1,231.16666666666666,6.699745148843509,1
E08000037,Gateshead,NA,NA,NA,31,1.5308037213344659,4,174.33333333333334,8.608713400622857,4
E09000001,City of London,385,0.04422237537330577,4,NA,NA,NA,5,5.743165632896853,1
E09000002,Barking and Dagenham,22136,0.10441607939697545,5,19,0.8962348701402844,3,190.33333333333334,8.978072120177234,4
E09000003,Barnet,6161,0.015711225582700057,2,66,1.683072372112001,4,322,8.211353088182792,4
E09000004,Bexley,27872,0.11272436078913524,5,NA,NA,NA,178,7.198958173244142,2
E09000005,Brent,6086,0.018398101543251864,3,22,0.6650644659078886,2,299.6666666666667,9.058984164411997,4
E09000006,Bromley,6240,0.01884649769251214,3,26,0.7852707371880059,3,241.16666666666666,7.283889466096439,2
E09000007,Camden,NA,NA,NA,48,1.8304821032239367,5,257.6666666666667,9.826129623556271,5
E09000008,Croydon,10517,0.02729235544160313,3,51,1.3234859061726345,4,372.6666666666667,9.670962373209186,5
E09000009,Ealing,3662,0.010708165926861647,2,34,0.9942043733295903,3,285.8333333333333,8.358139707158076,4
E09000010,Enfield,9660,0.028933503859298108,3,27,0.8087004184275869,3,273.5,8.191835719997963,3
E09000011,Greenwich,65746,0.22973171294193287,5,29,1.013326997127742,3,256,8.945231422920758,4
E09000012,Hackney,4331,0.015486385496933831,2,13,0.46484186437344677,1,295.3333333333333,10.560253636791638,5
E09000013,Hammersmith and Fulham,112898,0.6088574417827057,5,6,0.32357921758545183,1,194.83333333333334,10.507336259927591,5
E09000014,Haringey,290,0.0010715974932008986,1,17,0.6281778408419061,2,260.8333333333333,9.638218832525324,5
E09000015,Harrow,3052,0.012200728365893927,2,11,0.43973791620194363,1,187.83333333333334,7.5088580539331895,3
E09000016,Havering,4216,0.016353128272759008,3,63,2.4436600597339124,5,193.33333333333334,7.499062617172854,3
